timestamp,benchmark,configName,example,version,iteration,rows,columns,phase,label,beforeGcJsHeapUsedMb,afterGcJsHeapUsedMb,gcReclaimedMb,renderedRows,renderedCells,nodes,documents,jsEventListeners,url
"2026-06-21T13:19:57.208Z","rows","rows-10x8","v8/virtualized-rows","v8",1,10,8,"initial","v8/virtualized-rows 10x8",2.96,2.13,0.83,10,80,230,1,166,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:19:57.602Z","rows","rows-10x8","v8/virtualized-rows","v8",1,10,8,"instant-middle-scroll","v8/virtualized-rows 10x8",3.15,2.88,0.28,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:19:57.984Z","rows","rows-10x8","v8/virtualized-rows","v8",1,10,8,"instant-end-scroll","v8/virtualized-rows 10x8",3.1,2.93,0.17,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:19:58.943Z","rows","rows-10x8","v8/virtualized-rows","v8",1,10,8,"smooth-middle-scroll","v8/virtualized-rows 10x8",3.91,3.16,0.75,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:19:59.651Z","rows","rows-10x8","v8/virtualized-rows","v8",1,10,8,"smooth-end-scroll","v8/virtualized-rows 10x8",3.76,3.17,0.59,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:19:59.968Z","rows","rows-10x8","v8/virtualized-rows","v8",2,10,8,"initial","v8/virtualized-rows 10x8",2.96,2.13,0.83,10,80,230,1,166,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:00.361Z","rows","rows-10x8","v8/virtualized-rows","v8",2,10,8,"instant-middle-scroll","v8/virtualized-rows 10x8",3.15,2.88,0.28,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:00.743Z","rows","rows-10x8","v8/virtualized-rows","v8",2,10,8,"instant-end-scroll","v8/virtualized-rows 10x8",3.1,2.93,0.17,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:01.710Z","rows","rows-10x8","v8/virtualized-rows","v8",2,10,8,"smooth-middle-scroll","v8/virtualized-rows 10x8",3.92,3.16,0.76,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:02.410Z","rows","rows-10x8","v8/virtualized-rows","v8",2,10,8,"smooth-end-scroll","v8/virtualized-rows 10x8",3.75,3.17,0.59,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:02.718Z","rows","rows-10x8","v8/virtualized-rows","v8",3,10,8,"initial","v8/virtualized-rows 10x8",2.96,2.13,0.83,10,80,230,1,166,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:03.110Z","rows","rows-10x8","v8/virtualized-rows","v8",3,10,8,"instant-middle-scroll","v8/virtualized-rows 10x8",3.15,2.88,0.28,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:03.484Z","rows","rows-10x8","v8/virtualized-rows","v8",3,10,8,"instant-end-scroll","v8/virtualized-rows 10x8",3.1,2.93,0.17,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:04.443Z","rows","rows-10x8","v8/virtualized-rows","v8",3,10,8,"smooth-middle-scroll","v8/virtualized-rows 10x8",3.92,3.16,0.75,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:05.142Z","rows","rows-10x8","v8/virtualized-rows","v8",3,10,8,"smooth-end-scroll","v8/virtualized-rows 10x8",3.75,3.17,0.58,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:05.451Z","rows","rows-10x8","v8/virtualized-rows","v8",4,10,8,"initial","v8/virtualized-rows 10x8",2.96,2.13,0.83,10,80,230,1,166,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:05.834Z","rows","rows-10x8","v8/virtualized-rows","v8",4,10,8,"instant-middle-scroll","v8/virtualized-rows 10x8",3.15,2.88,0.28,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:06.210Z","rows","rows-10x8","v8/virtualized-rows","v8",4,10,8,"instant-end-scroll","v8/virtualized-rows 10x8",3.1,2.93,0.17,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:07.174Z","rows","rows-10x8","v8/virtualized-rows","v8",4,10,8,"smooth-middle-scroll","v8/virtualized-rows 10x8",3.91,3.16,0.75,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:07.867Z","rows","rows-10x8","v8/virtualized-rows","v8",4,10,8,"smooth-end-scroll","v8/virtualized-rows 10x8",3.76,3.17,0.59,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:08.176Z","rows","rows-10x8","v8/virtualized-rows","v8",5,10,8,"initial","v8/virtualized-rows 10x8",2.96,2.13,0.83,10,80,230,1,166,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:08.569Z","rows","rows-10x8","v8/virtualized-rows","v8",5,10,8,"instant-middle-scroll","v8/virtualized-rows 10x8",3.15,2.88,0.28,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:08.943Z","rows","rows-10x8","v8/virtualized-rows","v8",5,10,8,"instant-end-scroll","v8/virtualized-rows 10x8",3.1,2.93,0.17,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:09.904Z","rows","rows-10x8","v8/virtualized-rows","v8",5,10,8,"smooth-middle-scroll","v8/virtualized-rows 10x8",3.91,3.16,0.75,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:10.617Z","rows","rows-10x8","v8/virtualized-rows","v8",5,10,8,"smooth-end-scroll","v8/virtualized-rows 10x8",3.78,3.17,0.61,10,80,232,1,179,"http://127.0.0.1:41730/?rows=10&columns=8&overscan=5"
"2026-06-21T13:20:10.917Z","rows","rows-1000x8","v8/virtualized-rows","v8",1,1000,8,"initial","v8/virtualized-rows 1000x8",5.84,5.16,0.68,31,248,587,1,166,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:11.308Z","rows","rows-1000x8","v8/virtualized-rows","v8",1,1000,8,"instant-middle-scroll","v8/virtualized-rows 1000x8",6.67,6.32,0.34,37,296,691,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:11.691Z","rows","rows-1000x8","v8/virtualized-rows","v8",1,1000,8,"instant-end-scroll","v8/virtualized-rows 1000x8",7.15,6.46,0.69,30,240,572,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:12.675Z","rows","rows-1000x8","v8/virtualized-rows","v8",1,1000,8,"smooth-middle-scroll","v8/virtualized-rows 1000x8",10.52,8.99,1.53,37,296,691,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:13.393Z","rows","rows-1000x8","v8/virtualized-rows","v8",1,1000,8,"smooth-end-scroll","v8/virtualized-rows 1000x8",12.56,11.16,1.4,30,240,572,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:13.701Z","rows","rows-1000x8","v8/virtualized-rows","v8",2,1000,8,"initial","v8/virtualized-rows 1000x8",5.84,5.16,0.69,31,248,587,1,166,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:14.100Z","rows","rows-1000x8","v8/virtualized-rows","v8",2,1000,8,"instant-middle-scroll","v8/virtualized-rows 1000x8",6.67,6.32,0.35,37,296,691,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:14.484Z","rows","rows-1000x8","v8/virtualized-rows","v8",2,1000,8,"instant-end-scroll","v8/virtualized-rows 1000x8",7.15,6.46,0.69,30,240,572,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:15.474Z","rows","rows-1000x8","v8/virtualized-rows","v8",2,1000,8,"smooth-middle-scroll","v8/virtualized-rows 1000x8",9.2,9,0.2,37,296,691,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:16.194Z","rows","rows-1000x8","v8/virtualized-rows","v8",2,1000,8,"smooth-end-scroll","v8/virtualized-rows 1000x8",12.67,11.16,1.52,30,240,572,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:16.505Z","rows","rows-1000x8","v8/virtualized-rows","v8",3,1000,8,"initial","v8/virtualized-rows 1000x8",5.81,5.16,0.65,31,248,587,1,166,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:16.903Z","rows","rows-1000x8","v8/virtualized-rows","v8",3,1000,8,"instant-middle-scroll","v8/virtualized-rows 1000x8",6.68,6.32,0.36,37,296,691,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:17.280Z","rows","rows-1000x8","v8/virtualized-rows","v8",3,1000,8,"instant-end-scroll","v8/virtualized-rows 1000x8",7.15,6.46,0.69,30,240,572,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:18.266Z","rows","rows-1000x8","v8/virtualized-rows","v8",3,1000,8,"smooth-middle-scroll","v8/virtualized-rows 1000x8",9.2,9,0.2,37,296,691,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:18.993Z","rows","rows-1000x8","v8/virtualized-rows","v8",3,1000,8,"smooth-end-scroll","v8/virtualized-rows 1000x8",12.67,11.16,1.52,30,240,572,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:19.287Z","rows","rows-1000x8","v8/virtualized-rows","v8",4,1000,8,"initial","v8/virtualized-rows 1000x8",5.83,5.16,0.67,31,248,587,1,166,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:19.674Z","rows","rows-1000x8","v8/virtualized-rows","v8",4,1000,8,"instant-middle-scroll","v8/virtualized-rows 1000x8",6.68,6.32,0.35,37,296,691,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:20.054Z","rows","rows-1000x8","v8/virtualized-rows","v8",4,1000,8,"instant-end-scroll","v8/virtualized-rows 1000x8",7.15,6.46,0.69,30,240,572,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:21.034Z","rows","rows-1000x8","v8/virtualized-rows","v8",4,1000,8,"smooth-middle-scroll","v8/virtualized-rows 1000x8",9.99,9,0.99,37,296,691,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:21.748Z","rows","rows-1000x8","v8/virtualized-rows","v8",4,1000,8,"smooth-end-scroll","v8/virtualized-rows 1000x8",11.62,11.15,0.47,30,240,572,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:22.047Z","rows","rows-1000x8","v8/virtualized-rows","v8",5,1000,8,"initial","v8/virtualized-rows 1000x8",5.84,5.16,0.68,31,248,587,1,166,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
"2026-06-21T13:20:22.440Z","rows","rows-1000x8","v8/virtualized-rows","v8",5,1000,8,"instant-middle-scroll","v8/virtualized-rows 1000x8",6.67,6.32,0.35,37,296,691,1,179,"http://127.0.0.1:41730/?rows=1000&columns=8&overscan=5"
